who,what,when,where,why,how,sentence,original_text,chunk_index,field_count,umap_x,umap_y,umap_x_3d,umap_y_3d,umap_z_3d,cluster,color_temporal,hover_text
,died,"April 17, 1790",,,,"Someone died during April 17, 1790","He died on April 17, 1790.",0,2,9.82512,9.075182,5.0491085,13.181151,2.4400887,0,0,"<b>Who:</b> <br><b>What:</b> died<br><b>Where:</b> <br><b>When:</b> April 17, 1790<br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Autobiography,composed,"1771, 1784-5, 1788, 1757",England,,,Autobiography composed in England during 1771,"The first five chapters of the Autobiography were composed in England in
1771, continued in 1784-5, and again in 1788, at which date he brought
it down to 1757.",0,4,8.749,9.543966,5.714647,13.856354,1.9954923,0,0,"<b>Who:</b> Autobiography<br><b>What:</b> composed<br><b>Where:</b> England<br><b>When:</b> 1771, 1784-5, 1788, 1757<br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
John Bigelow,printed,,,finally printed by Mr,finally,John Bigelow printed because finally printed by Mr by finally,"After a most extraordinary series of adventures, the
original form of the manuscript was finally printed by Mr. John Bigelow,
and is here reproduced in recognition of its value as a picture of one
...",0,4,8.547835,9.886112,5.602323,14.301481,1.9397622,0,0,<b>Who:</b> John Bigelow<br><b>What:</b> printed<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> finally printed by Mr<br><b>How:</b> finally<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
"BENJAMIN FRANKLIN

",,"1706-1757, 1771","Twyford, Bishop, St. Asaph's",,,"BENJAMIN FRANKLIN

 did something in Twyford during 1706-1757","BENJAMIN FRANKLIN

HIS AUTOBIOGRAPHY

1706-1757

Twyford, at the Bishop of St. Asaph's, 1771.",0,3,9.698432,7.915595,6.00923,12.612373,2.583239,0,0,"<b>Who:</b> BENJAMIN FRANKLIN

<br><b>What:</b> <br><b>Where:</b> Twyford, Bishop, St. Asaph's<br><b>When:</b> 1706-1757, 1771<br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,had pleasure,,,"ure in obtaining any little anecdotes of
my ancestors",,"Someone had pleasure because ure in obtaining any little anecdotes of
my ancestors","Dear Son: I have ever had pleasure in obtaining any little anecdotes of
my ancestors.",0,2,10.006396,12.145363,5.37387,16.431662,3.1414433,0,0,"<b>Who:</b> <br><b>What:</b> had pleasure<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> ure in obtaining any little anecdotes of
my ancestors<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,remember inquiries,,England,that purpose,me,Someone remember inquiries in England because that purpose by me,"You may remember the inquiries I made among the remains of
my relations when you were with me in England, and the journey I
undertook for that purpose.",0,4,9.730283,9.882724,4.987112,14.066669,3.0083516,0,0,<b>Who:</b> <br><b>What:</b> remember inquiries<br><b>Where:</b> England<br><b>When:</b> <br><b>Why:</b> that purpose<br><b>How:</b> me<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,sit,week,,,equally,Someone sit during week by equally,"Imagining it may be equally agreeable to 
you to know the circumstances of my life, many of which you are yet
unacquainted with, and expecting the enjoyment of a week's uninterrupted
leisure in my ...",0,3,11.825848,11.284775,3.9810047,15.624903,3.8374867,0,0,<b>Who:</b> <br><b>What:</b> sit<br><b>Where:</b> <br><b>When:</b> week<br><b>Why:</b> <br><b>How:</b> equally<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,have,,,,,Someone have,To which I have besides some other inducements.,0,1,10.534962,14.614555,5.7881827,18.30067,4.4439683,0,0,<b>Who:</b> <br><b>What:</b> have<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,like know,,,born and bred,life,Someone like know because born and bred by life,"Having emerged from
the poverty and obscurity in which I was born and bred, to a state of
affluence and some degree of reputation in the world, and having gone so
far through life with a considerab...",0,3,10.256602,12.330599,5.37187,16.647505,3.2761345,0,0,<b>Who:</b> <br><b>What:</b> like know<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> born and bred<br><b>How:</b> life<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Franklin,have objection,,,,only,Franklin have objection by only,"The country-seat of Bishop Shipley, the good bishop, as Dr. Franklin
used to style him.--B.

 After the words ""agreeable to"" the words ""some of"" were interlined
and afterward effaced.--B.

That ...",0,3,9.727905,7.7607613,6.1050997,12.544701,2.6578853,0,0,<b>Who:</b> Franklin<br><b>What:</b> have objection<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> only<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,change accidents,,,others more favorable,,Someone change accidents because others more favorable,"So I might, besides correcting the faults, change some
sinister accidents and events of it for others more favorable.",0,2,10.01327,12.811548,5.882335,16.667091,3.9007556,0,0,<b>Who:</b> <br><b>What:</b> change accidents<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> others more favorable<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,accept offer,,,,,Someone accept offer,"But
though this were denied, I should still accept the offer.",0,1,10.745422,14.31585,5.3003917,18.060583,4.1794977,0,0,<b>Who:</b> <br><b>What:</b> accept offer<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,seems be,,,"such a
repetition is not to be expected",,"Someone seems be because such a
repetition is not to be expected","Since such a
repetition is not to be expected, the next thing most like living one's
life over again seems to be a recollection of that life, and to make
that recollection as durable as possible by...",0,2,9.62542,13.099269,6.4214225,16.95383,3.6726358,0,0,"<b>Who:</b> <br><b>What:</b> seems be<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> such a
repetition is not to be expected<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,indulge inclination,,,"this may be read
or not as any one pleases",respect,"Someone indulge inclination because this may be read
or not as any one pleases by respect","Hereby, too, I shall indulge the inclination so natural in old men, to
be talking of themselves and their own past actions; and I shall indulge
it without being tiresome to others, who, through resp...",0,3,8.605777,12.719746,6.2466283,16.93137,2.5662093,0,0,"<b>Who:</b> <br><b>What:</b> indulge inclination<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> this may be read
or not as any one pleases<br><b>How:</b> respect<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,gratify vanity,,,my denial of it will be believed by nobody),lastly,Someone gratify vanity because my denial of it will be believed by nobody) by lastly,"And, lastly (I may as well confess it, since
my denial of it will be believed by nobody), perhaps I shall a good deal
gratify my own vanity.",0,3,8.856428,12.970379,6.245816,17.056208,2.7350945,0,0,<b>Who:</b> <br><b>What:</b> gratify vanity<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> my denial of it will be believed by nobody)<br><b>How:</b> lastly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,dislike vanity,,,,it,Someone dislike vanity by it,"Most people dislike vanity in others, whatever
share they have of it themselves; but I give it fair quarter wherever I
meet with it, being persuaded that it is often productive of good to the
posse...",0,2,8.849601,12.93028,6.44551,16.969461,2.6937578,0,0,<b>Who:</b> <br><b>What:</b> dislike vanity<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> it<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,desire acknowledge,,,"t life to His
kind providence",humility,"Someone desire acknowledge because t life to His
kind providence by humility","And now I speak of thanking God, I desire with all humility to
acknowledge that I owe the mentioned happiness of my past life to His
kind providence, which lead me to the means I used and gave them...",0,3,8.420953,12.460409,6.4352713,16.566967,2.435899,0,0,"<b>Who:</b> <br><b>What:</b> desire acknowledge<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> t life to His
kind providence<br><b>How:</b> humility<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,induces,,,"others have done: the complexion of my future
fortune being known to Him only in whose power it is ",only,"Someone induces because others have done: the complexion of my future
fortune being known to Him only in whose power it is  by only","My belief of this induces me to hope, though I must not
presume, that the same goodness will still be exercised toward me, in
continuing that happiness, or enabling me to bear a fatal reverse, which...",0,3,8.83031,12.518728,6.1560125,16.85466,2.683739,0,0,"<b>Who:</b> <br><b>What:</b> induces<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> others have done: the complexion of my future
fortune being known to Him only in whose power it is <br><b>How:</b> only<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,furnished me,,,,particulars,Someone furnished me by particulars,"The notes one of my uncles (who had the same kind of curiosity in
collecting family anecdotes) once put into my hands, furnished me with
several particulars relating to our ancestors.",0,2,10.85538,12.712176,5.037829,16.662579,4.127636,0,0,<b>Who:</b> <br><b>What:</b> furnished me<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> particulars<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,learned,three hundred years,"Ecton, Northamptonshire",the name of an order of people,them,Someone learned in Ecton during three hundred years because the name of an order of people by them,"From these notes I
learned that the family had lived in the same village, Ecton, in
Northamptonshire, for three hundred years, and how much longer he knew
not (perhaps from the time when the name o...",0,5,9.238808,9.63556,5.9798484,14.037108,2.8192163,0,0,"<b>Who:</b> <br><b>What:</b> learned<br><b>Where:</b> Ecton, Northamptonshire<br><b>When:</b> three hundred years<br><b>Why:</b> the name of an order of people<br><b>How:</b> them<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,found account,the year 1555,Ecton,,only,Someone found account in Ecton during the year 1555 by only,"When I
searched the registers at Ecton, I found an account of their births,
marriages and burials from the year 1555 only, there being no registers
kept in that parish at any time preceding.",0,4,9.384754,9.576364,5.5930576,13.983086,2.7866611,0,0,<b>Who:</b> <br><b>What:</b> found account<br><b>Where:</b> Ecton<br><b>When:</b> the year 1555<br><b>Why:</b> <br><b>How:</b> only<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,perceived,,,"the youngest son of the youngest son for five generations
back",register,"Someone perceived because the youngest son of the youngest son for five generations
back by register","By that register I perceived
that I was the youngest son of the youngest son for five generations
back.",0,3,10.086881,11.8205185,4.8187723,16.246492,3.0089097,0,0,"<b>Who:</b> <br><b>What:</b> perceived<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> the youngest son of the youngest son for five generations
back<br><b>How:</b> register<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
"Thomas, John",lived,1598,"Ecton, Oxfordshire",dshire,son,"Thomas, John lived in Ecton during 1598 because dshire by son","My grandfather Thomas, who was born in 1598, lived at Ecton till
he grew too old to follow business longer, when he went to live with his
son John, a dyer at Banbury, in Oxfordshire, with whom my fa...",0,6,9.233112,8.756093,6.1229196,13.322175,2.7974226,0,0,"<b>Who:</b> Thomas, John<br><b>What:</b> lived<br><b>Where:</b> Ecton, Oxfordshire<br><b>When:</b> 1598<br><b>Why:</b> dshire<br><b>How:</b> son<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,died,,,,,Someone died,There my grandfather died and lies buried.,0,1,11.437975,13.838968,4.9310803,17.697906,4.5773835,0,0,<b>Who:</b> <br><b>What:</b> died<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,saw gravestone,1758,,,,Someone saw gravestone during 1758,"We saw his
gravestone in 1758.",0,2,9.751672,9.157383,5.1028843,13.22569,2.3475213,0,0,<b>Who:</b> <br><b>What:</b> saw gravestone<br><b>Where:</b> <br><b>When:</b> 1758<br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
"Thomas, Isted",lived,,"Ecton, Fisher",lived in the house at Ecton,land,"Thomas, Isted lived in Ecton because lived in the house at Ecton by land","His eldest son Thomas lived in the house at Ecton,
and left it with the land to his only child, a daughter, who, with her
husband, one Fisher, of Wellingborough, sold it to Mr. Isted, now lord
of t...",0,5,9.285049,8.843447,6.0095763,13.358952,2.8751156,0,0,"<b>Who:</b> Thomas, Isted<br><b>What:</b> lived<br><b>Where:</b> Ecton, Fisher<br><b>When:</b> <br><b>Why:</b> lived in the house at Ecton<br><b>How:</b> land<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,had sons,,,,,Someone had sons,"My grandfather had four sons that grew up, viz.:",0,1,11.029,14.049196,5.5096903,17.697697,4.6728954,0,0,<b>Who:</b> <br><b>What:</b> had sons<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
"Thomas, John, Benjamin, Josiah",,,,,,"Thomas, John did something","Thomas, John, Benjamin and Josiah.",0,1,9.176177,8.506834,6.280657,13.27774,2.7422023,0,0,"<b>Who:</b> Thomas, John, Benjamin, Josiah<br><b>What:</b> <br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,give you,,,,,Someone give you,"I will give you what account I can of
them, at this distance from my papers, and if these are not lost in my
absence, you will among them find many more particulars.",0,1,10.6267805,14.445619,5.6000204,18.192259,4.376476,0,0,<b>Who:</b> <br><b>What:</b> give you<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Thomas,qualified himself,,"an Esquire Palmer, Northampton",was bred a smith under his father; but,Palmer,Thomas qualified himself in an Esquire Palmer because was bred a smith under his father; but by Palmer,"Thomas was bred a smith under his father; but, being ingenious, and
encouraged in learning (as all my brothers were) by an Esquire Palmer,
then the principal gentleman in that parish, he qualified h...",0,5,9.147447,8.414565,6.5622907,12.9826355,2.86514,0,0,"<b>Who:</b> Thomas<br><b>What:</b> qualified himself<br><b>Where:</b> an Esquire Palmer, Northampton<br><b>When:</b> <br><b>Why:</b> was bred a smith under his father; but<br><b>How:</b> Palmer<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
